transaction_id,customer_id,product_id,store_id,transaction_date,year,month,quarter,day_of_week,quantity,unit_price,discount_amount,total_revenue,gross_profit,payment_method,channel,order_status,is_returned,delivery_days
TXN000034,CUST06149,PROD0056,ST005,2023-08-24,2023,8,Q3,Thursday,1,29.18,2.92,26.26,5.78,Apple Pay,Online,Completed,0,3.0
TXN000035,CUST01147,PROD0001,ST003,2022-08-08,2022,8,Q3,Monday,1,239.61,23.96,215.65,60.38,Debit Card,Online,Completed,0,2.0
TXN000036,CUST06569,PROD0023,ST002,2023-04-14,2023,4,Q2,Friday,1,78.38,0.0,78.38,27.43,Debit Card,In-Store,Completed,0,5.0
TXN000037,CUST00845,PROD0051,ST017,2023-12-05,2023,12,Q4,Tuesday,4,21.89,8.76,0.0,0.0,Debit Card,Mobile App,Returned,1,0.0
TXN000038,CUST02224,PROD0013,ST004,2024-04-23,2024,4,Q2,Tuesday,3,63.47,0.0,0.0,0.0,Credit Card,In-Store,Returned,1,0.0
TXN000039,CUST01286,PROD0044,ST013,2024-12-08,2024,12,Q4,Sunday,1,51.45,5.14,55.28,17.6,Debit Card,In-Store,Completed,0,5.0
TXN000040,CUST07721,PROD0046,ST015,2022-06-30,2022,6,Q2,Thursday,1,32.61,1.63,30.98,11.77,Credit Card,Online,Completed,0,2.0
TXN000041,CUST04722,PROD0059,ST011,2023-10-31,2023,10,Q4,Tuesday,3,21.98,3.3,62.64,13.78,Credit Card,In-Store,Completed,0,0.0
TXN000042,CUST01096,PROD0004,ST019,2022-07-29,2022,7,Q3,Friday,2,362.76,72.55,652.97,182.83,Debit Card,Online,Completed,0,3.0
TXN000043,CUST02423,PROD0010,ST009,2022-10-31,2022,10,Q4,Monday,1,245.11,0.0,245.11,68.63,Debit Card,Mobile App,Completed,0,5.0
TXN000044,CUST04833,PROD0006,ST008,2024-03-02,2024,3,Q1,Saturday,2,151.9,15.19,0.0,0.0,Debit Card,Online,Returned,1,0.0
TXN000045,CUST01332,PROD0025,ST001,2022-07-10,2022,7,Q3,Sunday,2,47.78,0.0,95.56,33.45,Debit Card,Mobile App,Completed,0,2.0
TXN000046,CUST06617,PROD0033,ST007,2023-08-05,2023,8,Q3,Saturday,1,27.76,4.16,23.6,12.27,Apple Pay,Online,Completed,0,2.0
TXN000047,CUST05186,PROD0053,ST018,2023-08-01,2023,8,Q3,Tuesday,1,9.88,0.49,9.39,2.07,Debit Card,Online,Completed,0,7.0
TXN000048,CUST07306,PROD0036,ST017,2022-01-15,2022,1,Q1,Saturday,1,6.02,0.3,5.2,2.97,Debit Card,Online,Completed,0,3.0
TXN000049,CUST04497,PROD0027,ST015,2022-05-06,2022,5,Q2,Friday,1,17.45,0.87,16.58,5.8,Apple Pay,In-Store,Completed,0,3.0
TXN000050,CUST01694,PROD0054,ST002,2024-04-11,2024,4,Q2,Thursday,1,25.34,3.8,21.54,4.74,PayPal,In-Store,Completed,0,0.0
TXN000051,CUST02911,PROD0005,ST016,2023-05-24,2023,5,Q2,Wednesday,1,151.9,0.0,151.9,42.53,Credit Card,In-Store,Completed,0,5.0
TXN000052,CUST02471,PROD0027,ST016,2023-07-20,2023,7,Q3,Thursday,4,17.45,6.98,62.82,21.99,PayPal,Online,Completed,0,2.0
TXN000053,CUST05398,PROD0055,ST015,2024-07-01,2024,7,Q3,Monday,1,30.37,3.04,27.33,6.01,Credit Card,Online,Completed,0,7.0
TXN000054,CUST06008,PROD0001,ST011,2022-05-16,2022,5,Q2,Monday,2,239.61,0.0,479.22,134.18,Debit Card,In-Store,Completed,0,3.0
TXN000055,CUST03334,PROD0011,ST002,2024-12-15,2024,12,Q4,Sunday,1,38.78,0.0,0.0,0.0,Credit Card,In-Store,Returned,1,0.0
TXN000056,CUST01041,PROD0052,ST018,2023-08-03,2023,8,Q3,Thursday,1,13.38,0.0,13.38,2.94,PayPal,In-Store,Completed,0,2.0
TXN000057,CUST05608,PROD0057,ST010,2023-12-03,2023,12,Q4,Sunday,4,7.93,4.76,0.0,0.0,Credit Card,In-Store,Cancelled,0,5.0
TXN000058,CUST02107,PROD0055,ST013,2023-09-23,2023,9,Q3,Saturday,5,30.37,7.59,144.26,31.74,Debit Card,In-Store,Completed,0,0.0
TXN000059,CUST01664,PROD0016,ST014,2024-05-29,2024,5,Q2,Wednesday,3,35.32,5.3,100.66,45.3,Credit Card,Online,Completed,0,5.0
TXN000060,CUST03388,PROD0039,ST006,2023-01-12,2023,1,Q1,Thursday,2,4.09,0.0,7.01,4.25,Credit Card,Online,Completed,0,7.0
TXN000061,CUST03441,PROD0007,ST017,2024-01-16,2024,1,Q1,Tuesday,1,369.51,55.43,288.52,87.94,Debit Card,In-Store,Completed,0,5.0
TXN000062,CUST03101,PROD0013,ST006,2023-08-31,2023,8,Q3,Thursday,1,63.47,0.0,63.47,28.56,Debit Card,In-Store,Completed,0,2.0
TXN000063,CUST07148,PROD0029,ST010,2024-05-21,2024,5,Q2,Tuesday,1,44.97,0.0,44.97,15.74,Debit Card,Mobile App,Completed,0,2.0
TXN000064,CUST07165,PROD0019,ST016,2022-10-17,2022,10,Q4,Monday,2,23.22,4.64,41.8,18.81,Google Pay,In-Store,Completed,0,0.0
TXN000065,CUST01365,PROD0063,ST020,2022-10-30,2022,10,Q4,Sunday,1,3.94,0.0,3.94,1.58,Credit Card,Online,Completed,0,2.0
TXN000066,CUST02655,PROD0027,ST015,2023-01-29,2023,1,Q1,Sunday,1,17.45,0.0,0.0,0.0,PayPal,Mobile App,Returned,1,3.0
TXN000067,CUST05952,PROD0015,ST020,2022-08-02,2022,8,Q3,Tuesday,1,1.99,0.0,1.99,0.9,Apple Pay,Online,Completed,0,3.0
TXN000068,CUST05212,PROD0007,ST014,2024-05-09,2024,5,Q2,Thursday,2,369.51,36.95,702.07,196.58,Debit Card,Mobile App,Completed,0,2.0
TXN000069,CUST07377,PROD0003,ST020,2024-01-16,2024,1,Q1,Tuesday,1,257.72,0.0,0.0,0.0,Debit Card,Online,Cancelled,0,5.0
TXN000070,CUST05921,PROD0012,ST007,2024-05-29,2024,5,Q2,Wednesday,2,38.7,3.87,73.53,33.09,Credit Card,In-Store,Completed,0,3.0
TXN000071,CUST02576,PROD0021,ST008,2023-12-30,2023,12,Q4,Saturday,1,148.28,0.0,0.0,0.0,Google Pay,Online,Returned,1,2.0
TXN000072,CUST00178,PROD0075,ST006,2023-06-04,2023,6,Q2,Sunday,1,1.99,0.1,1.89,0.79,Credit Card,Online,Completed,0,2.0
TXN000073,CUST00768,PROD0076,ST003,2022-02-28,2022,2,Q1,Monday,1,55.55,0.0,55.55,23.33,PayPal,Mobile App,Completed,0,2.0
TXN000074,CUST07739,PROD0051,ST012,2022-09-29,2022,9,Q3,Thursday,1,21.89,0.0,21.89,4.82,Debit Card,Mobile App,Completed,0,2.0
TXN000075,CUST07618,PROD0035,ST019,2022-10-10,2022,10,Q4,Monday,1,42.81,2.14,40.67,21.15,Credit Card,In-Store,Completed,0,0.0
TXN000076,CUST00033,PROD0033,ST006,2024-01-28,2024,1,Q1,Sunday,3,27.76,4.16,69.22,41.14,Google Pay,In-Store,Completed,0,0.0
TXN000077,CUST04847,PROD0043,ST006,2022-06-10,2022,6,Q2,Friday,1,59.8,0.0,0.0,0.0,Debit Card,Online,Cancelled,0,2.0
TXN000078,CUST07583,PROD0035,ST014,2024-09-24,2024,9,Q3,Tuesday,1,42.81,4.28,38.53,20.04,Debit Card,Mobile App,Completed,0,2.0
TXN000079,CUST03075,PROD0008,ST004,2024-12-02,2024,12,Q4,Monday,1,272.09,13.6,293.6,72.38,Google Pay,In-Store,Completed,0,3.0
TXN000080,CUST03129,PROD0043,ST006,2023-07-06,2023,7,Q3,Thursday,3,59.8,8.97,170.43,64.76,PayPal,Online,Completed,0,5.0
TXN000081,CUST03767,PROD0032,ST001,2024-05-16,2024,5,Q2,Thursday,1,61.34,0.0,61.34,31.9,Debit Card,In-Store,Completed,0,0.0
TXN000082,CUST05206,PROD0033,ST008,2022-06-27,2022,6,Q2,Monday,1,27.76,0.0,0.0,0.0,Google Pay,In-Store,Returned,1,3.0
TXN000083,CUST06999,PROD0008,ST018,2022-05-08,2022,5,Q2,Sunday,1,272.09,0.0,272.09,76.19,Debit Card,Mobile App,Completed,0,2.0
TXN000084,CUST01620,PROD0017,ST010,2022-09-18,2022,9,Q3,Sunday,3,19.55,8.8,49.85,22.43,Debit Card,In-Store,Completed,0,0.0
TXN000085,CUST06564,PROD0015,ST006,2022-12-05,2022,12,Q4,Monday,1,1.99,0.2,2.06,0.81,Apple Pay,Mobile App,Completed,0,2.0
TXN000086,CUST00657,PROD0012,ST016,2023-03-04,2023,3,Q1,Saturday,1,38.7,5.81,32.89,14.8,Google Pay,Online,Completed,0,2.0
TXN000087,CUST05454,PROD0016,ST015,2023-01-20,2023,1,Q1,Friday,1,35.32,1.77,0.0,0.0,Debit Card,Online,Returned,1,0.0
TXN000088,CUST02541,PROD0056,ST015,2024-04-22,2024,4,Q2,Monday,1,29.18,1.46,27.72,6.1,Debit Card,In-Store,Completed,0,0.0
TXN000089,CUST00235,PROD0025,ST006,2023-08-11,2023,8,Q3,Friday,1,47.78,7.17,40.61,14.21,Credit Card,In-Store,Completed,0,0.0
TXN000090,CUST00325,PROD0071,ST019,2024-10-27,2024,10,Q4,Sunday,3,44.03,13.21,118.88,49.93,Debit Card,In-Store,Completed,0,2.0
TXN000091,CUST06818,PROD0056,ST013,2022-07-21,2022,7,Q3,Thursday,3,29.18,0.0,0.0,0.0,Debit Card,Mobile App,Cancelled,0,0.0
TXN000092,CUST05657,PROD0035,ST005,2023-07-03,2023,7,Q3,Monday,2,42.81,12.84,72.78,37.85,Credit Card,Online,Completed,0,2.0
TXN000093,CUST02380,PROD0016,ST016,2023-11-16,2023,11,Q4,Thursday,2,35.32,0.0,82.36,31.79,Credit Card,Mobile App,Completed,0,3.0
TXN000094,CUST01694,PROD0061,ST010,2023-04-02,2023,4,Q2,Sunday,3,10.21,4.59,26.04,10.42,Credit Card,Mobile App,Completed,0,2.0
TXN000095,CUST03463,PROD0001,ST019,2023-01-17,2023,1,Q1,Tuesday,3,239.61,0.0,0.0,0.0,Debit Card,In-Store,Returned,1,0.0
TXN000096,CUST03740,PROD0018,ST003,2024-07-22,2024,7,Q3,Monday,2,66.0,6.6,125.4,56.43,Credit Card,Online,Completed,0,2.0
TXN000097,CUST07761,PROD0017,ST016,2023-05-24,2023,5,Q2,Wednesday,1,19.55,0.0,19.55,8.8,Debit Card,Mobile App,Completed,0,2.0
TXN000098,CUST04124,PROD0002,ST007,2022-07-15,2022,7,Q3,Friday,1,163.41,0.0,0.0,0.0,Credit Card,Mobile App,Returned,1,3.0
TXN000099,CUST02836,PROD0003,ST004,2024-09-08,2024,9,Q3,Sunday,1,257.72,38.66,219.06,61.34,Debit Card,In-Store,Completed,0,3.0
TXN000100,CUST00789,PROD0003,ST008,2022-04-19,2022,4,Q2,Tuesday,4,257.72,103.09,927.79,259.78,Debit Card,Online,Completed,0,2.0
TXN000101,CUST00647,PROD0059,ST018,2023-10-07,2023,10,Q4,Saturday,2,21.98,2.2,41.76,9.19,Credit Card,Mobile App,Completed,0,2.0
TXN000102,CUST03191,PROD0067,ST018,2023-05-09,2023,5,Q2,Tuesday,5,14.28,7.14,64.26,25.7,Credit Card,In-Store,Completed,0,0.0
TXN000103,CUST04044,PROD0027,ST006,2023-09-29,2023,9,Q3,Friday,1,17.45,0.0,17.45,6.11,Credit Card,In-Store,Completed,0,2.0
TXN000104,CUST05838,PROD0009,ST004,2024-01-12,2024,1,Q1,Friday,3,123.66,18.55,0.0,0.0,Debit Card,In-Store,Returned,1,2.0
TXN000105,CUST03724,PROD0051,ST012,2022-04-27,2022,4,Q2,Wednesday,3,21.89,0.0,65.67,14.45,Debit Card,In-Store,Completed,0,0.0
TXN000106,CUST00486,PROD0007,ST002,2022-09-22,2022,9,Q3,Thursday,2,369.51,36.95,702.07,196.58,Debit Card,Online,Completed,0,3.0
TXN000107,CUST05756,PROD0016,ST020,2022-10-01,2022,10,Q4,Saturday,1,35.32,1.77,33.55,15.1,Credit Card,Online,Completed,0,2.0
TXN000108,CUST07301,PROD0001,ST016,2023-08-06,2023,8,Q3,Sunday,1,239.61,0.0,0.0,0.0,Debit Card,In-Store,Cancelled,0,1.0
TXN000109,CUST01213,PROD0036,ST012,2023-10-02,2023,10,Q4,Monday,2,6.02,0.6,11.44,5.95,Apple Pay,Online,Completed,0,3.0
TXN000110,CUST03701,PROD0035,ST004,2024-10-31,2024,10,Q4,Thursday,3,42.81,6.42,0.0,0.0,Credit Card,In-Store,Returned,1,0.0
TXN000111,CUST03825,PROD0064,ST006,2024-03-21,2024,3,Q1,Thursday,5,3.04,0.0,15.2,6.08,Debit Card,Mobile App,Completed,0,2.0
TXN000112,CUST06592,PROD0063,ST020,2024-09-11,2024,9,Q3,Wednesday,3,3.94,1.77,0.0,0.0,Debit Card,In-Store,Returned,1,1.0
TXN000113,CUST05537,PROD0039,ST017,2022-10-17,2022,10,Q4,Monday,1,4.09,0.2,3.89,2.02,Debit Card,In-Store,Completed,0,5.0
TXN000114,CUST02962,PROD0041,ST018,2023-05-29,2023,5,Q2,Monday,2,98.23,19.65,176.81,67.19,Credit Card,In-Store,Completed,0,0.0
TXN000115,CUST06275,PROD0003,ST008,2024-12-13,2024,12,Q4,Friday,1,257.72,12.89,280.57,68.55,Google Pay,Online,Completed,0,1.0
TXN000116,CUST03240,PROD0062,ST015,2022-03-16,2022,3,Q1,Wednesday,1,13.14,0.0,13.14,5.26,Debit Card,In-Store,Completed,0,2.0
TXN000117,CUST02470,PROD0025,ST011,2023-04-20,2023,4,Q2,Thursday,1,47.78,0.0,47.78,16.72,Debit Card,Online,Completed,0,1.0
TXN000118,CUST00362,PROD0012,ST017,2023-08-24,2023,8,Q3,Thursday,2,38.7,3.87,73.53,33.09,Credit Card,Online,Completed,0,2.0
TXN000119,CUST02310,PROD0036,ST005,2022-01-11,2022,1,Q1,Tuesday,3,6.02,0.0,0.0,0.0,Google Pay,Online,Cancelled,0,2.0
TXN000120,CUST00368,PROD0011,ST015,2023-01-31,2023,1,Q1,Tuesday,1,38.78,0.0,33.29,17.45,PayPal,Online,Completed,0,2.0
TXN000121,CUST00945,PROD0069,ST004,2023-12-29,2023,12,Q4,Friday,1,44.04,0.0,47.1,18.5,Apple Pay,In-Store,Completed,0,5.0
TXN000122,CUST00338,PROD0058,ST005,2023-01-09,2023,1,Q1,Monday,4,14.29,2.86,46.06,11.95,Credit Card,In-Store,Completed,0,3.0
TXN000123,CUST00513,PROD0039,ST013,2022-04-15,2022,4,Q2,Friday,2,4.09,0.0,0.0,0.0,Google Pay,Mobile App,Returned,1,1.0
TXN000124,CUST07987,PROD0007,ST016,2024-04-18,2024,4,Q2,Thursday,1,369.51,18.48,0.0,0.0,Debit Card,Mobile App,Cancelled,0,5.0
TXN000125,CUST02685,PROD0008,ST013,2023-05-27,2023,5,Q2,Saturday,2,272.09,27.21,516.97,144.75,Apple Pay,Online,Completed,0,2.0
TXN000126,CUST00136,PROD0020,ST005,2024-04-07,2024,4,Q2,Sunday,1,5.57,0.0,5.57,2.51,Debit Card,In-Store,Completed,0,2.0
TXN000127,CUST07303,PROD0030,ST004,2024-05-28,2024,5,Q2,Tuesday,1,60.42,6.04,54.38,19.03,Credit Card,Online,Completed,0,2.0
TXN000128,CUST05637,PROD0013,ST001,2024-12-02,2024,12,Q4,Monday,1,63.47,0.0,73.65,28.56,Google Pay,In-Store,Completed,0,5.0
TXN000129,CUST05800,PROD0028,ST010,2022-01-14,2022,1,Q1,Friday,3,93.78,0.0,254.09,98.47,PayPal,Online,Completed,0,5.0
TXN000130,CUST04754,PROD0055,ST008,2024-12-30,2024,12,Q4,Monday,1,30.37,1.52,33.21,6.35,PayPal,Online,Completed,0,2.0
TXN000131,CUST00060,PROD0001,ST015,2023-04-22,2023,4,Q2,Saturday,1,239.61,0.0,239.61,67.09,Credit Card,In-Store,Completed,0,7.0
TXN000132,CUST02076,PROD0027,ST011,2022-02-01,2022,2,Q1,Tuesday,1,17.45,0.0,0.0,0.0,PayPal,Online,Cancelled,0,1.0
TXN000133,CUST06708,PROD0014,ST018,2024-02-13,2024,2,Q1,Tuesday,3,1.99,0.6,5.37,2.42,Apple Pay,Online,Completed,0,1.0
TXN000134,CUST05571,PROD0020,ST014,2022-07-22,2022,7,Q3,Friday,1,5.57,0.0,5.57,2.51,Debit Card,Online,Completed,0,2.0
TXN000135,CUST03573,PROD0070,ST008,2023-10-18,2023,10,Q4,Wednesday,3,18.87,0.0,0.0,0.0,Debit Card,In-Store,Cancelled,0,2.0
TXN000136,CUST00355,PROD0060,ST003,2024-04-18,2024,4,Q2,Thursday,1,29.71,0.0,29.71,6.54,Debit Card,In-Store,Completed,0,2.0
TXN000137,CUST06148,PROD0064,ST016,2024-12-04,2024,12,Q4,Wednesday,3,3.04,0.46,9.63,3.46,Credit Card,Mobile App,Completed,0,1.0
TXN000138,CUST06160,PROD0002,ST009,2023-04-30,2023,4,Q2,Sunday,1,163.41,16.34,147.07,41.18,Credit Card,Online,Completed,0,5.0
TXN000139,CUST03678,PROD0045,ST019,2023-09-21,2023,9,Q3,Thursday,3,1.99,0.6,5.37,2.04,Credit Card,Online,Completed,0,2.0
TXN000140,CUST01165,PROD0014,ST019,2022-06-26,2022,6,Q2,Sunday,1,1.99,0.0,1.99,0.9,Debit Card,Mobile App,Completed,0,2.0
TXN000141,CUST03203,PROD0015,ST003,2022-01-17,2022,1,Q1,Monday,2,1.99,0.0,3.28,1.79,Google Pay,Mobile App,Completed,0,2.0
TXN000142,CUST01778,PROD0056,ST005,2022-03-11,2022,3,Q1,Friday,1,29.18,0.0,29.18,6.42,Apple Pay,In-Store,Completed,0,0.0
TXN000143,CUST03954,PROD0075,ST004,2022-01-05,2022,1,Q1,Wednesday,1,1.99,0.3,1.48,0.71,Debit Card,In-Store,Completed,0,2.0
TXN000144,CUST07370,PROD0006,ST005,2023-06-17,2023,6,Q2,Saturday,2,151.9,0.0,303.8,85.06,Credit Card,Online,Completed,0,2.0
TXN000145,CUST03581,PROD0031,ST010,2024-09-27,2024,9,Q3,Friday,1,17.17,0.86,16.31,8.48,Apple Pay,In-Store,Completed,0,0.0
TXN000146,CUST07342,PROD0047,ST011,2022-08-29,2022,8,Q3,Monday,5,44.27,11.07,210.28,79.91,Credit Card,Online,Completed,0,2.0
TXN000147,CUST00470,PROD0021,ST008,2024-02-01,2024,2,Q1,Thursday,3,148.28,22.24,422.6,147.91,Gift Card,In-Store,Completed,0,0.0
TXN000148,CUST01588,PROD0059,ST011,2022-12-15,2022,12,Q4,Thursday,1,21.98,0.0,0.0,0.0,Apple Pay,Mobile App,Cancelled,0,0.0
TXN000149,CUST07769,PROD0055,ST011,2024-07-29,2024,7,Q3,Monday,1,30.37,4.56,0.0,0.0,Debit Card,In-Store,Returned,1,3.0
TXN000150,CUST05816,PROD0037,ST012,2024-11-16,2024,11,Q4,Saturday,1,31.76,0.0,34.39,16.52,Credit Card,Online,Completed,0,3.0
TXN000151,CUST05351,PROD0041,ST003,2023-02-25,2023,2,Q1,Saturday,1,98.23,0.0,0.0,0.0,PayPal,Online,Returned,1,5.0
TXN000152,CUST02582,PROD0053,ST004,2022-12-30,2022,12,Q4,Friday,2,9.88,0.0,0.0,0.0,Debit Card,Online,Returned,1,0.0
TXN000153,CUST07834,PROD0038,ST002,2022-02-14,2022,2,Q1,Monday,1,1.99,0.1,1.89,0.98,Apple Pay,In-Store,Completed,0,3.0
TXN000154,CUST06139,PROD0042,ST007,2022-04-23,2022,4,Q2,Saturday,1,72.71,3.64,69.07,26.25,Credit Card,In-Store,Completed,0,2.0
TXN000155,CUST03600,PROD0054,ST009,2022-09-07,2022,9,Q3,Wednesday,3,25.34,11.4,64.62,14.22,PayPal,In-Store,Completed,0,0.0
TXN000156,CUST04992,PROD0075,ST007,2023-11-23,2023,11,Q4,Thursday,1,1.99,0.1,1.99,0.79,PayPal,Online,Completed,0,3.0
TXN000157,CUST03371,PROD0030,ST003,2023-06-04,2023,6,Q2,Sunday,1,60.42,0.0,60.42,21.15,Apple Pay,In-Store,Completed,0,3.0
TXN000158,CUST07600,PROD0042,ST018,2022-01-06,2022,1,Q1,Thursday,1,72.71,0.0,0.0,0.0,Debit Card,Online,Returned,1,0.0
TXN000159,CUST03534,PROD0049,ST019,2023-01-10,2023,1,Q1,Tuesday,1,80.46,4.02,69.59,29.05,PayPal,Mobile App,Completed,0,2.0
TXN000160,CUST00009,PROD0032,ST015,2022-02-20,2022,2,Q1,Sunday,2,61.34,12.27,110.41,57.41,Credit Card,In-Store,Completed,0,0.0
TXN000161,CUST02422,PROD0033,ST003,2022-05-16,2022,5,Q2,Monday,1,27.76,0.0,27.76,14.44,Debit Card,Mobile App,Completed,0,2.0
TXN000162,CUST05195,PROD0029,ST003,2022-09-05,2022,9,Q3,Monday,4,44.97,8.99,170.89,59.81,Gift Card,In-Store,Completed,0,2.0
TXN000163,CUST06581,PROD0054,ST004,2023-05-27,2023,5,Q2,Saturday,3,25.34,0.0,0.0,0.0,Debit Card,In-Store,Cancelled,0,3.0
TXN000164,CUST00176,PROD0006,ST006,2024-04-07,2024,4,Q2,Sunday,2,151.9,15.19,288.61,80.81,Debit Card,Mobile App,Completed,0,3.0
TXN000165,CUST02763,PROD0043,ST004,2022-08-01,2022,8,Q3,Monday,1,59.8,5.98,53.82,20.45,PayPal,In-Store,Completed,0,0.0
TXN000166,CUST07864,PROD0022,ST010,2022-01-10,2022,1,Q1,Monday,1,63.71,6.37,51.96,20.07,PayPal,Online,Completed,0,2.0
TXN000167,CUST00910,PROD0069,ST014,2023-07-02,2023,7,Q3,Sunday,3,44.04,19.82,0.0,0.0,Debit Card,In-Store,Returned,1,0.0
TXN000168,CUST00729,PROD0010,ST008,2023-02-03,2023,2,Q1,Friday,2,245.11,24.51,465.71,130.4,PayPal,In-Store,Completed,0,0.0
TXN000169,CUST04179,PROD0022,ST008,2024-01-14,2024,1,Q1,Sunday,2,63.71,0.0,0.0,0.0,Credit Card,Mobile App,Returned,1,0.0
