customer_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,rfm_avg,segment,age_group,gender,region,loyalty_tier,is_active
CUST00058,67,6,293.05,3,2,2,322,2.33,Loyal,25-34,Male,South West,Bronze,True
CUST00059,76,4,243.26,3,1,1,311,1.67,New Customer,45-54,Male,London,Bronze,False
CUST00060,387,4,274.5,1,1,2,112,1.33,Lost,18-24,Female,South East,Bronze,True
CUST00061,133,7,566.5,2,3,3,233,2.67,At Risk,25-34,Female,South West,Bronze,True
CUST00062,150,7,462.91999999999996,2,3,2,232,2.33,At Risk,45-54,Male,Wales,Silver,True
CUST00063,151,1,73.53,2,1,1,211,1.33,Needs Attention,65+,Female,London,Silver,True
CUST00064,60,11,1549.18,3,4,4,344,3.67,Champion,35-44,Female,Yorkshire,Bronze,True
CUST00065,58,6,388.02,3,2,2,322,2.33,Loyal,65+,Prefer not to say,London,Platinum,True
CUST00066,11,2,30.43,4,1,1,411,2.0,New Customer,25-34,Male,North West,Silver,True
CUST00067,114,6,797.8399999999999,3,2,3,323,2.67,Loyal,45-54,Prefer not to say,South East,Bronze,True
CUST00068,172,6,255.45,2,2,1,221,1.67,At Risk,55-64,Male,Scotland,Silver,True
CUST00069,94,6,428.72,3,2,2,322,2.33,Loyal,55-64,Prefer not to say,North West,Bronze,False
CUST00070,176,3,243.58,2,1,1,211,1.33,Needs Attention,35-44,Prefer not to say,South West,Bronze,True
CUST00071,55,5,563.53,3,2,3,323,2.67,Loyal,45-54,Female,West Midlands,Gold,True
CUST00072,100,8,904.88,3,4,4,344,3.67,Champion,45-54,Female,North West,Silver,False
CUST00073,352,6,907.99,1,2,4,124,2.33,Lost,45-54,Male,Yorkshire,Silver,True
CUST00074,33,5,725.72,4,2,3,423,3.0,Loyal,45-54,Male,South East,Bronze,False
CUST00075,651,4,1693.43,1,1,4,114,2.0,Lost,55-64,Male,London,Silver,True
CUST00076,181,8,420.69,2,4,2,242,2.67,At Risk,45-54,Male,London,Bronze,True
CUST00077,28,7,668.49,4,3,3,433,3.33,Champion,55-64,Prefer not to say,South East,Platinum,True
CUST00078,101,7,618.92,3,3,3,333,3.0,Champion,35-44,Male,London,Bronze,True
CUST00079,90,7,919.32,3,3,4,334,3.33,Champion,25-34,Prefer not to say,East of England,Silver,False
CUST00080,18,6,354.87,4,2,2,422,2.67,Loyal,25-34,Female,London,Bronze,True
CUST00081,280,3,185.68,1,1,1,111,1.0,Lost,65+,Female,London,Bronze,True
CUST00082,175,11,600.87,2,4,3,243,3.0,At Risk,18-24,Female,Scotland,Silver,True
CUST00083,835,2,104.76,1,1,1,111,1.0,Lost,25-34,Prefer not to say,Scotland,Bronze,True
CUST00084,337,6,186.69,1,2,1,121,1.33,Lost,55-64,Female,East of England,Bronze,True
CUST00085,76,6,692.28,3,2,3,323,2.67,Loyal,25-34,Prefer not to say,London,Silver,True
CUST00086,361,5,206.45,1,2,1,121,1.33,Lost,18-24,Female,East of England,Silver,True
CUST00087,63,4,1048.61,3,1,4,314,2.67,New Customer,18-24,Prefer not to say,South East,Bronze,True
CUST00088,19,9,1065.91,4,4,4,444,4.0,Champion,35-44,Male,London,Bronze,True
CUST00089,156,7,313.86,2,3,2,232,2.33,At Risk,18-24,Female,West Midlands,Silver,True
CUST00090,421,3,633.91,1,1,3,113,1.67,Lost,55-64,Male,North East,Silver,True
CUST00091,156,6,594.6800000000001,2,2,3,223,2.33,At Risk,55-64,Male,Yorkshire,Bronze,False
CUST00092,26,7,502.49,4,3,2,432,3.0,Loyal,18-24,Female,South East,Bronze,False
CUST00093,55,5,262.08,3,2,1,321,2.0,Loyal,35-44,Prefer not to say,Scotland,Gold,True
CUST00094,212,5,1271.03,2,2,4,224,2.67,At Risk,18-24,Female,North West,Gold,True
CUST00095,424,3,284.52,1,1,2,112,1.33,Lost,18-24,Male,East of England,Silver,True
CUST00096,46,4,76.81,4,1,1,411,2.0,New Customer,35-44,Prefer not to say,London,Bronze,True
CUST00097,111,9,1616.17,3,4,4,344,3.67,Champion,35-44,Prefer not to say,London,Bronze,False
CUST00098,632,5,489.26,1,2,2,122,1.67,Lost,65+,Male,East of England,Silver,True
CUST00099,369,6,1956.91,1,2,4,124,2.33,Lost,45-54,Prefer not to say,London,Bronze,False
CUST00100,66,5,1422.09,3,2,4,324,3.0,Loyal,55-64,Female,North West,Bronze,False
CUST00101,341,3,313.91,1,1,2,112,1.33,Lost,45-54,Prefer not to say,East of England,Bronze,True
CUST00102,11,7,266.78999999999996,4,3,1,431,2.67,Loyal,55-64,Female,South East,Gold,True
CUST00103,372,3,95.11,1,1,1,111,1.0,Lost,65+,Prefer not to say,Wales,Silver,True
CUST00104,10,7,646.8199999999999,4,3,3,433,3.33,Champion,45-54,Male,East of England,Silver,True
CUST00105,308,7,789.8,1,3,3,133,2.33,Lost,45-54,Female,South East,Silver,False
CUST00106,70,8,1257.05,3,4,4,344,3.67,Champion,65+,Prefer not to say,North East,Silver,True
CUST00107,101,7,376.17,3,3,2,332,2.67,Loyal,65+,Male,South West,Bronze,True
CUST00108,65,4,1359.59,3,1,4,314,2.67,New Customer,18-24,Female,North West,Bronze,True
CUST00109,169,6,128.45,2,2,1,221,1.67,At Risk,25-34,Male,London,Gold,True
CUST00110,154,8,981.67,2,4,4,244,3.33,At Risk,45-54,Prefer not to say,South East,Bronze,False
CUST00111,16,7,1737.1000000000004,4,3,4,434,3.67,Champion,18-24,Female,Scotland,Platinum,True
CUST00112,263,6,1032.51,1,2,4,124,2.33,Lost,35-44,Male,Wales,Gold,True
CUST00113,172,8,1420.1299999999999,2,4,4,244,3.33,At Risk,65+,Female,London,Gold,True
CUST00114,89,8,781.5699999999999,3,4,3,343,3.33,Champion,35-44,Male,East Midlands,Bronze,True
CUST00115,69,10,1239.73,3,4,4,344,3.67,Champion,65+,Prefer not to say,London,Gold,True
CUST00116,704,1,98.16,1,1,1,111,1.0,Lost,35-44,Female,Yorkshire,Bronze,True
CUST00117,180,5,197.06,2,2,1,221,1.67,At Risk,25-34,Female,North East,Platinum,True
CUST00118,40,6,1285.3799999999999,4,2,4,424,3.33,Loyal,18-24,Male,Yorkshire,Bronze,False
CUST00119,423,3,164.64000000000001,1,1,1,111,1.0,Lost,45-54,Male,South East,Bronze,True
CUST00120,26,7,379.40000000000003,4,3,2,432,3.0,Loyal,65+,Female,London,Bronze,True
CUST00121,219,7,1848.39,2,3,4,234,3.0,At Risk,65+,Male,West Midlands,Silver,True
CUST00122,15,6,566.49,4,2,3,423,3.0,Loyal,18-24,Female,Wales,Bronze,False
CUST00123,239,8,2196.05,2,4,4,244,3.33,At Risk,35-44,Prefer not to say,Scotland,Silver,True
CUST00124,126,8,633.54,3,4,3,343,3.33,Champion,65+,Male,North West,Silver,True
CUST00125,31,6,532.25,4,2,3,423,3.0,Loyal,45-54,Male,North West,Bronze,True
CUST00126,373,4,259.60999999999996,1,1,1,111,1.0,Lost,45-54,Female,London,Bronze,True
CUST00127,91,8,1028.35,3,4,4,344,3.67,Champion,35-44,Male,Wales,Gold,True
CUST00128,117,8,1441.74,3,4,4,344,3.67,Champion,25-34,Female,Yorkshire,Gold,True
CUST00129,19,10,1685.58,4,4,4,444,4.0,Champion,25-34,Male,West Midlands,Bronze,True
CUST00130,100,9,580.08,3,4,3,343,3.33,Champion,18-24,Male,South East,Bronze,True
CUST00131,118,8,1241.13,3,4,4,344,3.67,Champion,45-54,Female,East of England,Bronze,False
CUST00132,283,6,842.85,1,2,3,123,2.0,Lost,65+,Male,London,Silver,True
CUST00133,45,11,235.19,4,4,1,441,3.0,Loyal,18-24,Male,South East,Bronze,True
CUST00134,339,5,462.72,1,2,2,122,1.67,Lost,55-64,Prefer not to say,South East,Silver,True
CUST00135,55,6,226.03,3,2,1,321,2.0,Loyal,45-54,Female,North East,Bronze,True
CUST00136,269,7,324.28999999999996,1,3,2,132,2.0,Lost,45-54,Female,West Midlands,Bronze,True
CUST00137,928,4,179.34,1,1,1,111,1.0,Lost,18-24,Male,South West,Silver,True
CUST00138,3,7,857.71,4,3,3,433,3.33,Champion,65+,Male,South West,Gold,False
CUST00139,17,5,762.8499999999999,4,2,3,423,3.0,Loyal,55-64,Female,South East,Silver,True
CUST00140,51,2,288.06,4,1,2,412,2.33,New Customer,35-44,Prefer not to say,South East,Gold,True
CUST00141,41,8,929.81,4,4,4,444,4.0,Champion,18-24,Male,South East,Gold,True
CUST00142,17,4,215.15,4,1,1,411,2.0,New Customer,18-24,Male,Yorkshire,Platinum,True
CUST00143,90,7,418.38,3,3,2,332,2.67,Loyal,45-54,Female,London,Bronze,True
CUST00144,206,7,506.57,2,3,2,232,2.33,At Risk,25-34,Male,Yorkshire,Bronze,True
CUST00145,376,5,259.02,1,2,1,121,1.33,Lost,55-64,Female,South West,Bronze,True
CUST00146,103,6,588.15,3,2,3,323,2.67,Loyal,55-64,Prefer not to say,South East,Bronze,True
CUST00147,157,7,1033.55,2,3,4,234,3.0,At Risk,35-44,Female,South East,Bronze,True
CUST00148,207,3,554.5,2,1,3,213,2.0,Needs Attention,18-24,Female,North West,Bronze,True
CUST00149,22,9,1061.35,4,4,4,444,4.0,Champion,55-64,Female,Yorkshire,Bronze,True
CUST00150,124,7,868.75,3,3,3,333,3.0,Champion,65+,Female,London,Gold,True
CUST00151,13,6,1607.33,4,2,4,424,3.33,Loyal,35-44,Prefer not to say,South East,Bronze,True
CUST00152,106,8,352.01,3,4,2,342,3.0,Loyal,35-44,Female,Yorkshire,Gold,True
CUST00153,21,3,323.48,4,1,2,412,2.33,New Customer,25-34,Prefer not to say,London,Gold,True
CUST00154,18,11,1120.99,4,4,4,444,4.0,Champion,55-64,Prefer not to say,South West,Gold,False
CUST00155,129,6,280.7,3,2,2,322,2.33,Loyal,45-54,Male,East of England,Silver,True
CUST00156,366,5,267.62,1,2,1,121,1.33,Lost,45-54,Female,London,Bronze,True
CUST00157,151,4,49.709999999999994,2,1,1,211,1.33,Needs Attention,45-54,Prefer not to say,East Midlands,Gold,True
CUST00158,54,4,1069.82,3,1,4,314,2.67,New Customer,55-64,Female,East of England,Platinum,True
CUST00159,38,4,1117.22,4,1,4,414,3.0,New Customer,55-64,Prefer not to say,London,Bronze,False
CUST00160,14,5,457.09,4,2,2,422,2.67,Loyal,35-44,Female,South West,Gold,True
CUST00161,59,7,861.7900000000001,3,3,3,333,3.0,Champion,35-44,Male,East Midlands,Bronze,True
CUST00162,166,10,1145.45,2,4,4,244,3.33,At Risk,18-24,Prefer not to say,West Midlands,Gold,False
CUST00163,106,9,489.76,3,4,2,342,3.0,Loyal,55-64,Prefer not to say,Scotland,Bronze,True
CUST00164,20,7,803.01,4,3,3,433,3.33,Champion,65+,Prefer not to say,South West,Bronze,True
CUST00165,180,7,607.06,2,3,3,233,2.67,At Risk,25-34,Male,Wales,Bronze,False
CUST00166,157,6,511.56,2,2,3,223,2.33,At Risk,55-64,Male,East Midlands,Bronze,False
CUST00167,243,3,234.25,2,1,1,211,1.33,Needs Attention,18-24,Female,South East,Silver,True
CUST00168,1,9,896.54,4,4,4,444,4.0,Champion,55-64,Male,South East,Gold,False
CUST00169,106,4,196.09,3,1,1,311,1.67,New Customer,45-54,Female,Yorkshire,Silver,False
CUST00170,507,3,139.0,1,1,1,111,1.0,Lost,35-44,Male,West Midlands,Gold,True
CUST00171,455,5,102.52000000000001,1,2,1,121,1.33,Lost,18-24,Male,South East,Gold,False
CUST00172,43,5,126.32,4,2,1,421,2.33,Loyal,35-44,Male,South West,Bronze,True
CUST00173,117,4,137.89,3,1,1,311,1.67,New Customer,18-24,Female,Scotland,Gold,True
CUST00174,279,7,557.05,1,3,3,133,2.33,Lost,45-54,Prefer not to say,North West,Gold,True
CUST00175,39,6,227.02,4,2,1,421,2.33,Loyal,35-44,Male,North West,Silver,True
CUST00176,108,8,729.27,3,4,3,343,3.33,Champion,18-24,Male,South East,Silver,True
CUST00177,523,4,726.1,1,1,3,113,1.67,Lost,65+,Prefer not to say,East Midlands,Silver,True
CUST00178,81,7,264.34000000000003,3,3,1,331,2.33,Loyal,55-64,Female,London,Silver,True
CUST00179,64,4,210.36,3,1,1,311,1.67,New Customer,45-54,Male,West Midlands,Platinum,True
CUST00180,242,5,1377.1000000000001,2,2,4,224,2.67,At Risk,25-34,Prefer not to say,West Midlands,Bronze,True
CUST00181,87,5,492.31,3,2,2,322,2.33,Loyal,65+,Female,Wales,Silver,True
CUST00182,389,2,476.2,1,1,2,112,1.33,Lost,35-44,Male,London,Bronze,True
CUST00183,12,8,864.52,4,4,3,443,3.67,Champion,35-44,Male,Yorkshire,Bronze,False
CUST00184,24,6,1949.77,4,2,4,424,3.33,Loyal,18-24,Female,South West,Bronze,False
CUST00185,126,5,396.67,3,2,2,322,2.33,Loyal,45-54,Prefer not to say,East of England,Gold,True
CUST00186,220,7,323.43,2,3,2,232,2.33,At Risk,45-54,Prefer not to say,Wales,Bronze,True
CUST00187,195,6,556.27,2,2,3,223,2.33,At Risk,35-44,Female,East Midlands,Bronze,True
CUST00188,26,8,892.99,4,4,4,444,4.0,Champion,35-44,Prefer not to say,Wales,Platinum,True
CUST00189,157,6,430.14,2,2,2,222,2.0,At Risk,18-24,Male,North West,Silver,True
CUST00190,2,6,1092.81,4,2,4,424,3.33,Loyal,35-44,Female,Scotland,Bronze,True
CUST00191,31,12,1255.12,4,4,4,444,4.0,Champion,18-24,Prefer not to say,London,Bronze,True
CUST00192,50,6,1137.1499999999999,4,2,4,424,3.33,Loyal,65+,Male,East of England,Bronze,True
CUST00193,165,1,37.37,2,1,1,211,1.33,Needs Attention,55-64,Female,West Midlands,Platinum,True
CUST00194,14,7,547.87,4,3,3,433,3.33,Champion,25-34,Prefer not to say,South West,Bronze,True
CUST00195,258,6,647.47,2,2,3,223,2.33,At Risk,35-44,Male,Yorkshire,Gold,True
CUST00196,71,7,1262.38,3,3,4,334,3.33,Champion,25-34,Male,South East,Silver,True
CUST00197,508,4,821.5500000000001,1,1,3,113,1.67,Lost,55-64,Male,London,Bronze,True
CUST00198,527,3,847.85,1,1,3,113,1.67,Lost,25-34,Female,West Midlands,Bronze,True
CUST00199,106,10,590.05,3,4,3,343,3.33,Champion,45-54,Prefer not to say,North East,Bronze,True
CUST00200,289,7,317.20000000000005,1,3,2,132,2.0,Lost,35-44,Prefer not to say,South East,Platinum,False
CUST00201,102,9,977.47,3,4,4,344,3.67,Champion,25-34,Prefer not to say,South East,Silver,True
CUST00202,163,3,305.51,2,1,2,212,1.67,Needs Attention,65+,Prefer not to say,Yorkshire,Silver,False
CUST00203,206,6,145.74,2,2,1,221,1.67,At Risk,65+,Prefer not to say,South East,Bronze,True
CUST00204,38,6,392.9,4,2,2,422,2.67,Loyal,65+,Female,East of England,Gold,True
CUST00205,238,3,52.370000000000005,2,1,1,211,1.33,Needs Attention,45-54,Female,East of England,Bronze,True
CUST00206,944,3,136.07999999999998,1,1,1,111,1.0,Lost,45-54,Male,Yorkshire,Silver,True
CUST00207,231,8,901.33,2,4,4,244,3.33,At Risk,45-54,Male,London,Bronze,False
CUST00208,200,5,656.2,2,2,3,223,2.33,At Risk,35-44,Prefer not to say,Yorkshire,Bronze,True
CUST00209,609,1,23.6,1,1,1,111,1.0,Lost,35-44,Female,London,Platinum,False
CUST00210,6,7,318.1,4,3,2,432,3.0,Loyal,18-24,Female,East of England,Gold,True
CUST00211,389,4,355.4,1,1,2,112,1.33,Lost,25-34,Female,Yorkshire,Gold,True
CUST00212,1,5,311.97,4,2,2,422,2.67,Loyal,55-64,Female,London,Silver,False
CUST00213,280,6,1521.8799999999999,1,2,4,124,2.33,Lost,18-24,Female,South West,Platinum,True
CUST00214,4,4,63.84,4,1,1,411,2.0,New Customer,18-24,Male,London,Bronze,True
CUST00215,423,2,120.19,1,1,1,111,1.0,Lost,55-64,Female,London,Platinum,True
CUST00216,116,4,547.5699999999999,3,1,3,313,2.33,New Customer,45-54,Male,South East,Silver,True
CUST00217,4,6,862.84,4,2,3,423,3.0,Loyal,35-44,Prefer not to say,North West,Gold,True
CUST00218,205,12,1549.03,2,4,4,244,3.33,At Risk,55-64,Prefer not to say,Yorkshire,Gold,True
CUST00219,26,5,640.31,4,2,3,423,3.0,Loyal,55-64,Prefer not to say,London,Bronze,True
CUST00221,15,12,941.61,4,4,4,444,4.0,Champion,65+,Female,East of England,Bronze,True
CUST00222,69,6,314.38,3,2,2,322,2.33,Loyal,65+,Prefer not to say,West Midlands,Gold,True
CUST00223,27,4,327.6,4,1,2,412,2.33,New Customer,55-64,Female,South East,Platinum,True
CUST00224,230,6,1262.64,2,2,4,224,2.67,At Risk,35-44,Female,South East,Platinum,True
CUST00225,457,4,261.49,1,1,1,111,1.0,Lost,35-44,Male,South East,Bronze,True
CUST00226,140,7,1283.4299999999998,2,3,4,234,3.0,At Risk,25-34,Male,North West,Bronze,True
CUST00227,254,10,3499.04,2,4,4,244,3.33,At Risk,18-24,Prefer not to say,North East,Bronze,True
CUST00228,247,7,536.96,2,3,3,233,2.67,At Risk,18-24,Prefer not to say,Yorkshire,Bronze,True
CUST00229,81,7,592.42,3,3,3,333,3.0,Champion,65+,Male,Yorkshire,Bronze,True
CUST00230,51,7,668.65,4,3,3,433,3.33,Champion,55-64,Prefer not to say,Yorkshire,Platinum,True
CUST00231,243,7,1202.76,2,3,4,234,3.0,At Risk,45-54,Female,London,Silver,False
CUST00232,84,5,336.34000000000003,3,2,2,322,2.33,Loyal,35-44,Female,East of England,Silver,False
CUST00233,34,8,771.15,4,4,3,443,3.67,Champion,25-34,Male,South East,Silver,True
CUST00234,230,6,192.59,2,2,1,221,1.67,At Risk,55-64,Prefer not to say,Yorkshire,Bronze,False
CUST00235,65,13,926.33,3,4,4,344,3.67,Champion,45-54,Prefer not to say,London,Platinum,True
CUST00236,296,5,657.78,1,2,3,123,2.0,Lost,45-54,Male,South West,Bronze,True
CUST00237,100,4,439.87,3,1,2,312,2.0,New Customer,65+,Female,West Midlands,Bronze,True
CUST00238,187,7,236.56,2,3,1,231,2.0,At Risk,65+,Male,West Midlands,Platinum,True
CUST00239,422,7,693.4100000000001,1,3,3,133,2.33,Lost,25-34,Female,Yorkshire,Silver,True
CUST00240,8,10,621.5799999999999,4,4,3,443,3.67,Champion,65+,Prefer not to say,North West,Bronze,True
CUST00241,5,8,911.1800000000001,4,4,4,444,4.0,Champion,18-24,Prefer not to say,North East,Bronze,True
CUST00242,298,5,384.03999999999996,1,2,2,122,1.67,Lost,65+,Male,Yorkshire,Silver,True
CUST00243,288,3,322.98,1,1,2,112,1.33,Lost,45-54,Prefer not to say,London,Silver,True
CUST00244,108,3,345.98,3,1,2,312,2.0,New Customer,65+,Male,East Midlands,Bronze,True
CUST00245,76,4,147.47,3,1,1,311,1.67,New Customer,45-54,Male,South East,Bronze,True
CUST00246,136,5,138.48,2,2,1,221,1.67,At Risk,45-54,Female,North West,Gold,True
CUST00247,83,5,461.01,3,2,2,322,2.33,Loyal,18-24,Male,Wales,Bronze,True
CUST00248,185,7,1179.33,2,3,4,234,3.0,At Risk,35-44,Female,West Midlands,Silver,False
CUST00249,241,5,752.48,2,2,3,223,2.33,At Risk,25-34,Female,London,Gold,True
CUST00250,110,3,198.64000000000001,3,1,1,311,1.67,New Customer,25-34,Male,London,Silver,True
CUST00251,65,3,212.76999999999998,3,1,1,311,1.67,New Customer,65+,Male,South West,Bronze,True
CUST00252,29,5,358.32,4,2,2,422,2.67,Loyal,55-64,Female,South East,Gold,True
CUST00253,350,5,1278.89,1,2,4,124,2.33,Lost,35-44,Male,Wales,Silver,True
CUST00254,52,6,499.89,4,2,2,422,2.67,Loyal,55-64,Female,London,Bronze,True
CUST00255,14,8,463.49,4,4,2,442,3.33,Loyal,25-34,Female,South West,Gold,True
CUST00256,153,5,250.78,2,2,1,221,1.67,At Risk,45-54,Male,East Midlands,Platinum,True
CUST00257,182,7,732.5,2,3,3,233,2.67,At Risk,65+,Male,Scotland,Gold,True
CUST00258,83,12,886.92,3,4,4,344,3.67,Champion,35-44,Female,West Midlands,Silver,True
CUST00259,73,5,495.77000000000004,3,2,2,322,2.33,Loyal,25-34,Female,South East,Gold,False
CUST00260,46,5,343.84,4,2,2,422,2.67,Loyal,25-34,Prefer not to say,East Midlands,Bronze,True
CUST00261,247,5,488.78,2,2,2,222,2.0,At Risk,45-54,Prefer not to say,West Midlands,Bronze,True
CUST00262,214,3,33.92,2,1,1,211,1.33,Needs Attention,65+,Female,Yorkshire,Bronze,True
CUST00263,633,5,420.17,1,2,2,122,1.67,Lost,65+,Male,London,Silver,True
CUST00264,51,4,652.1500000000001,4,1,3,413,2.67,New Customer,45-54,Prefer not to say,North West,Silver,True
CUST00265,288,7,1267.6000000000001,1,3,4,134,2.67,Lost,45-54,Male,Yorkshire,Bronze,True
CUST00266,226,6,1140.45,2,2,4,224,2.67,At Risk,55-64,Male,North West,Bronze,True
CUST00267,64,11,1744.36,3,4,4,344,3.67,Champion,18-24,Prefer not to say,London,Bronze,True
CUST00268,400,5,394.62,1,2,2,122,1.67,Lost,18-24,Male,East of England,Bronze,True
CUST00269,460,4,554.66,1,1,3,113,1.67,Lost,55-64,Prefer not to say,West Midlands,Gold,True
CUST00270,373,4,473.43,1,1,2,112,1.33,Lost,25-34,Prefer not to say,East of England,Gold,True
CUST00271,86,10,803.0500000000001,3,4,3,343,3.33,Champion,45-54,Prefer not to say,South East,Silver,True
CUST00272,146,8,266.82,2,4,1,241,2.33,At Risk,18-24,Female,South West,Silver,True
CUST00273,204,2,109.96000000000001,2,1,1,211,1.33,Needs Attention,45-54,Female,West Midlands,Bronze,False
CUST00274,37,14,1495.64,4,4,4,444,4.0,Champion,65+,Prefer not to say,East of England,Bronze,True
CUST00275,27,5,484.22,4,2,2,422,2.67,Loyal,35-44,Male,Scotland,Silver,False
CUST00276,91,11,2353.0,3,4,4,344,3.67,Champion,55-64,Female,West Midlands,Silver,True
